num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
72,0.8889,0.9412,0.875,0.9333,0.8056,0.8923,0.8056,0.8923,0.875,0.9333
73,0.8904,0.942,0.8767,0.9343,0.8082,0.8939,0.8082,0.8939,0.8767,0.9343
74,0.8784,0.9353,0.8784,0.9353,0.8108,0.8955,0.8108,0.8955,0.8784,0.9353
75,0.88,0.9362,0.88,0.9362,0.8133,0.8971,0.8133,0.8971,0.88,0.9362
76,0.8816,0.9371,0.8816,0.9371,0.8158,0.8986,0.8158,0.8986,0.8816,0.9371
77,0.8831,0.9379,0.8831,0.9379,0.8182,0.9,0.8182,0.9,0.8831,0.9379
78,0.8846,0.9388,0.8846,0.9388,0.8205,0.9014,0.8205,0.9014,0.8846,0.9388
79,0.8734,0.9324,0.8861,0.9396,0.8228,0.9028,0.8228,0.9028,0.8861,0.9396
80,0.875,0.9333,0.8875,0.9404,0.825,0.9041,0.825,0.9041,0.8875,0.9404
81,0.8765,0.9342,0.8889,0.9412,0.8272,0.9054,0.8272,0.9054,0.8889,0.9412
82,0.878,0.9351,0.8902,0.9419,0.8293,0.9067,0.8293,0.9067,0.8902,0.9419
83,0.8795,0.9359,0.8916,0.9427,0.8193,0.9007,0.8193,0.9007,0.8916,0.9427
84,0.881,0.9367,0.8929,0.9434,0.8214,0.902,0.8214,0.902,0.8929,0.9434
85,0.8824,0.9375,0.8941,0.9441,0.8235,0.9032,0.8235,0.9032,0.8941,0.9441
86,0.8837,0.9383,0.8953,0.9448,0.8256,0.9045,0.8256,0.9045,0.8953,0.9448
87,0.8851,0.939,0.8966,0.9455,0.8276,0.9057,0.8276,0.9057,0.8851,0.939
88,0.8864,0.9398,0.8864,0.9398,0.8295,0.9068,0.8295,0.9068,0.8864,0.9398
89,0.8876,0.9405,0.8876,0.9405,0.8315,0.908,0.8315,0.908,0.8876,0.9405
90,0.8889,0.9412,0.8889,0.9412,0.8222,0.9024,0.8222,0.9024,0.8889,0.9412
91,0.8901,0.9419,0.8901,0.9419,0.8242,0.9036,0.8242,0.9036,0.8791,0.9357
92,0.8913,0.9425,0.8913,0.9425,0.8261,0.9048,0.8261,0.9048,0.8696,0.9302
93,0.8925,0.9432,0.8925,0.9432,0.828,0.9059,0.828,0.9059,0.871,0.931
94,0.883,0.9379,0.883,0.9379,0.8298,0.907,0.8298,0.907,0.8723,0.9318
95,0.8842,0.9385,0.8737,0.9326,0.8316,0.908,0.8316,0.908,0.8632,0.9266
96,0.8854,0.9392,0.875,0.9333,0.8229,0.9029,0.8229,0.9029,0.8646,0.9274
97,0.8763,0.9341,0.8763,0.9341,0.8247,0.904,0.8247,0.904,0.866,0.9282
98,0.8776,0.9348,0.8776,0.9348,0.8265,0.905,0.8265,0.905,0.8571,0.9231
99,0.8687,0.9297,0.8788,0.9355,0.8283,0.9061,0.8283,0.9061,0.8485,0.918
100,0.86,0.9247,0.88,0.9362,0.83,0.9071,0.83,0.9071,0.84,0.913
101,0.8614,0.9255,0.8812,0.9368,0.8218,0.9022,0.8218,0.9022,0.8416,0.914
102,0.8627,0.9263,0.8725,0.9319,0.8137,0.8973,0.8137,0.8973,0.8431,0.9149
103,0.8641,0.9271,0.8738,0.9326,0.8155,0.8984,0.8155,0.8984,0.8447,0.9158
104,0.8654,0.9278,0.875,0.9333,0.8173,0.8995,0.8173,0.8995,0.8462,0.9167
105,0.8667,0.9286,0.8762,0.934,0.819,0.9005,0.819,0.9005,0.8476,0.9175
106,0.8585,0.9239,0.8774,0.9347,0.8208,0.9016,0.8208,0.9016,0.8491,0.9184
107,0.8598,0.9246,0.8785,0.9353,0.8224,0.9026,0.8224,0.9026,0.8411,0.9137
108,0.8611,0.9254,0.8796,0.936,0.8241,0.9036,0.8241,0.9036,0.8426,0.9146
109,0.8624,0.9261,0.8807,0.9366,0.8257,0.9045,0.8257,0.9045,0.844,0.9154
110,0.8636,0.9268,0.8818,0.9372,0.8273,0.9055,0.8273,0.9055,0.8364,0.9109
111,0.8559,0.9223,0.8829,0.9378,0.8288,0.9064,0.8288,0.9064,0.8378,0.9118
112,0.8482,0.9179,0.8839,0.9384,0.8304,0.9073,0.8304,0.9073,0.8393,0.9126
113,0.8496,0.9187,0.8761,0.934,0.8319,0.9082,0.8319,0.9082,0.8319,0.9082
114,0.8509,0.9194,0.8684,0.9296,0.8333,0.9091,0.8333,0.9091,0.8333,0.9091
115,0.8522,0.9202,0.8609,0.9252,0.8348,0.91,0.8348,0.91,0.8348,0.91
116,0.8534,0.9209,0.8621,0.9259,0.8362,0.9108,0.8362,0.9108,0.8362,0.9108
117,0.8547,0.9217,0.8632,0.9266,0.8376,0.9116,0.8376,0.9116,0.8376,0.9116
118,0.8559,0.9224,0.8559,0.9224,0.839,0.9124,0.839,0.9124,0.839,0.9124
119,0.8571,0.9231,0.8571,0.9231,0.8403,0.9132,0.8403,0.9132,0.8403,0.9132
120,0.8583,0.9238,0.8583,0.9238,0.8417,0.914,0.8417,0.914,0.8417,0.914
121,0.8595,0.9244,0.8595,0.9244,0.843,0.9148,0.843,0.9148,0.8347,0.9099
122,0.8607,0.9251,0.8525,0.9204,0.8443,0.9156,0.8443,0.9156,0.8361,0.9107
123,0.8618,0.9258,0.8537,0.9211,0.8455,0.9163,0.8455,0.9163,0.8374,0.9115
124,0.8629,0.9264,0.8548,0.9217,0.8468,0.917,0.8468,0.917,0.8387,0.9123
125,0.864,0.927,0.856,0.9224,0.848,0.9177,0.848,0.9177,0.84,0.913
126,0.8571,0.9231,0.8571,0.9231,0.8492,0.9185,0.8492,0.9185,0.8413,0.9138
127,0.8504,0.9191,0.8583,0.9237,0.8504,0.9191,0.8504,0.9191,0.8346,0.9099
128,0.8516,0.9198,0.8594,0.9244,0.8516,0.9198,0.8516,0.9198,0.8359,0.9106
129,0.845,0.916,0.8527,0.9205,0.8527,0.9205,0.8527,0.9205,0.8295,0.9068
130,0.8462,0.9167,0.8538,0.9212,0.8538,0.9212,0.8538,0.9212,0.8308,0.9076
131,0.8397,0.9129,0.8473,0.9174,0.855,0.9218,0.855,0.9218,0.8321,0.9083
